Threads,Value_Hex,Duration_ms,Acceleration
1,0xb45312346c52d52b,3408,1.000000
2,0xb45312346c52d52b,1779,1.915683
3,0xb45312346c52d52b,1072,3.179104
4,0xb45312346c52d52b,829,4.110977
5,0xb45312346c52d52b,636,5.358491
6,0xb45312346c52d52b,527,6.466793
7,0xb45312346c52d52b,462,7.376623
8,0xb45312346c52d52b,398,8.562814
9,0xb45312346c52d52b,352,9.681818
10,0xb45312346c52d52b,329,10.358663
11,0xb45312346c52d52b,294,11.591837
12,0xb45312346c52d52b,270,12.622222
13,0xb45312346c52d52b,250,13.632000
14,0xb45312346c52d52b,290,11.751724
15,0xb45312346c52d52b,261,13.057471
16,0xb45312346c52d52b,257,13.260700
17,0xb45312346c52d52b,242,14.082645
18,0xb45312346c52d52b,229,14.882096
19,0xb45312346c52d52b,218,15.633028
20,0xb45312346c52d52b,207,16.463768
21,0xb45312346c52d52b,197,17.299492
22,0xb45312346c52d52b,188,18.127660
23,0xb45312346c52d52b,181,18.828729
24,0xb45312346c52d52b,173,19.699422
25,0xb45312346c52d52b,166,20.530120
26,0xb45312346c52d52b,161,21.167702
27,0xb45312346c52d52b,155,21.987097
28,0xb45312346c52d52b,149,22.872483
29,0xb45312346c52d52b,144,23.666667
30,0xb45312346c52d52b,139,24.517986
31,0xb45312346c52d52b,134,25.432836
32,0xb45312346c52d52b,131,26.015267
33,0xb45312346c52d52b,126,27.047619
34,0xb45312346c52d52b,125,27.264000
35,0xb45312346c52d52b,120,28.400000
36,0xb45312346c52d52b,116,29.379310
37,0xb45312346c52d52b,116,29.379310
38,0xb45312346c52d52b,113,30.159292
39,0xb45312346c52d52b,117,29.128205
40,0xb45312346c52d52b,109,31.266055
41,0xb45312346c52d52b,106,32.150943
42,0xb45312346c52d52b,104,32.769231
43,0xb45312346c52d52b,101,33.742574
44,0xb45312346c52d52b,103,33.087379
45,0xb45312346c52d52b,118,28.881356
46,0xb45312346c52d52b,112,30.428571
47,0xb45312346c52d52b,98,34.775510
48,0xb45312346c52d52b,101,33.742574
